Lp., Izba administracji skarbowej Urząd skarbowy Urząd celno-skarbowy Delegatura urzędu celno-skarbowego Oddział celny, Kod identyfikacyjny
I, IZBA ADMINISTRACJI SKARBOWEJ W LUBLINIE,0601
1, Urząd Skarbowy w Białej Podlaskiej,0602
2, Urząd Skarbowy w Biłgoraju,0603
3, Urząd Skarbowy w Chełmie,0604
4, Urząd Skarbowy w Hrubieszowie,0605
5, Urząd Skarbowy w Janowie Lubelskim,0606
6, Urząd Skarbowy w Krasnymstawie,0607
7, Urząd Skarbowy w Kraśniku,0608
8, Urząd Skarbowy w Lubartowie,0609
9, Pierwszy Urząd Skarbowy w Lublinie,0610
10, Drugi Urząd Skarbowy w Lublinie,0611
11, Trzeci Urząd Skarbowy w Lublinie,0612
12, Urząd Skarbowy w Łukowie,0613
13, Urząd Skarbowy w Opolu Lubelskim,0614
14, Urząd Skarbowy w Parczewie,0615
15, Urząd Skarbowy w Puławach,0616
16, Urząd Skarbowy w Radzyniu Podlaskim,0617
17, Urząd Skarbowy w Tomaszowie Lubelskim,0618
18, Urząd Skarbowy we Włodawie,0619
19, Urząd Skarbowy w Zamościu,0620
20, Urząd Skarbowy w Łęcznej,0621
21, Urząd Skarbowy w Rykach,0622
22, Lubelski Urząd Skarbowy w Lublinie,0671
23, Lubelski Urząd Celno-Skarbowy w Białej Podlaskiej,308000
1), Delegatura UCS w Białej Podlaskiej,301000
a), Oddział Celny w Białej Podlaskiej,301010
b), Oddział Celny w Małaszewiczach,301020
c), Oddział Celny w Koroszczynie,301040
d), Oddział Celny w Terespolu,301050
e), Oddział Celny Drogowy w Terespolu,301060
f), Oddział Celny w Sławatyczach,301070
2), Delegatura UCS w Lublinie,302000
a), Oddział Celny w Lublinie,302010
b), Oddział Celny w Puławach,302020
c), Oddział Celny w Chełmie,302040
d), Oddział Celny w Dorohusku,302050
e), Oddział Celny Drogowy w Dorohusku,302060
f), Oddział Celny Port Lotniczy Lublin,302070
g), Oddział Celny Pocztowy w Lublinie,302080
3), Delegatura UCS w Zamościu,303000
a), Oddział Celny w Zamościu,303010
b), Oddział Celny w Hrebennem,303020
c), Oddział Celny w Hrubieszowie,303030
d), Oddział Celny w Zosinie,303040
e), Oddział Celny w Tomaszowie Lubelskim,303080
f), Oddział Celny w Dołhobyczowie,303091
II, IZBA ADMINISTRACJI SKARBOWEJ W BIAŁYMSTOKU,2001
1, Urząd Skarbowy w Augustowie,2002
2, Pierwszy Urząd Skarbowy w Białymstoku,2003
3, Drugi Urząd Skarbowy w Białymstoku,2004
4, Urząd Skarbowy w Bielsku Podlaskim,2005
5, Urząd Skarbowy w Grajewie,2006
6, Urząd Skarbowy w Kolnie,2007
7, Urząd Skarbowy w Łomży,2008
8, Urząd Skarbowy w Mońkach,2009
9, Urząd Skarbowy w Siemiatyczach,2010
10, Urząd Skarbowy w Sokółce,2011
11, Urząd Skarbowy w Suwałkach,2012
12, Urząd Skarbowy w Wysokiem Mazowieckiem,2013
13, Urząd Skarbowy w Zambrowie,2014
14, Urząd Skarbowy w Hajnówce,2015
15, Podlaski Urząd Skarbowy w Białymstoku,2071
16, Podlaski Urząd Celno-Skarbowy w Białymstoku,318000
1), Delegatura UCS w Białymstoku,311000
a), Oddział Celny w Białymstoku,311010
b), Oddział Celny Kolejowy w Kuźnicy,311020
c), Oddział Celny Drogowy w Kuźnicy,311030
d), Oddział Celny w Siemianówce,311050
e), Oddział Celny w Połowcach,311060
f), Oddział Celny w Bobrownikach,311070
2), Delegatura UCS w Łomży,312000
a), Oddział Celny w Łomży,312010
3), Delegatura UCS w Suwałkach,313000
a), Oddział Celny w Suwałkach,313010
b), Oddział Celny w Augustowie,313020
III, IZBA ADMINISTRACJI SKARBOWEJ W GDAŃSKU,2201
1, Urząd Skarbowy w Bytowie,2202
2, Urząd Skarbowy w Chojnicach,2203
3, Urząd Skarbowy w Człuchowie,2204
4, Pierwszy Urząd Skarbowy w Gdańsku,2205
5, Drugi Urząd Skarbowy w Gdańsku,2206
6, Trzeci Urząd Skarbowy w Gdańsku,2207
7, Pierwszy Urząd Skarbowy w Gdyni,2208
8, Drugi Urząd Skarbowy w Gdyni,2209
9, Urząd Skarbowy w Kartuzach,2210
10, Urząd Skarbowy w Kościerzynie,2211
11, Urząd Skarbowy w Kwidzynie,2212
12, Urząd Skarbowy w Lęborku,2213
13, Urząd Skarbowy w Malborku,2214
14, Urząd Skarbowy w Pucku,2215
15, Urząd Skarbowy w Słupsku,2216
16, Urząd Skarbowy w Sopocie,2217
17, Urząd Skarbowy w Starogardzie Gdańskim,2218
18, Urząd Skarbowy w Tczewie,2219
19, Urząd Skarbowy w Wejherowie,2220
20, Urząd Skarbowy w Pruszczu Gdańskim,2221
21, Pomorski Urząd Skarbowy w Gdańsku,2271
22, Pomorski Urząd Celno-Skarbowy w Gdyni,328000
1), Delegatura UCS w Gdyni,321000
a)," Oddział Celny ""Basen V"" w Gdyni",321010
b)," Oddział Celny ""Baza Kontenerowa"" w Gdyni",321030
c)," Oddział Celny ""Basen IV"" w Gdyni",321050
d)," Oddział Celny ""Nabrzeże Bułgarskie"" w Gdyni",321070
2), Delegatura UCS w Gdańsku,322000
a)," Oddział Celny ""Opłotki"" w Gdańsku",322010
b)," Oddział Celny ""Nabrzeże Wiślane"" w Gdańsku",322020
c)," Oddział Celny ""Basen im. Władysława IV"" w Gdańsku",322030
d), Oddział Celny Port Lotniczy Gdańsk-Rębiechowo,322050
e), Oddział Celny w Tczewie,322060
f), Oddział Celny w Kwidzynie,322070
g)," Oddział Celny ""Terminal Kontenerowy"" w Gdańsku",322080
h), Oddział Celny Pocztowy w Pruszczu Gdańskim,322090
3), Delegatura UCS w Słupsku,323000
a), Oddział Celny w Słupsku,323010
b), Oddział Celny w Chojnicach,323020
IV, IZBA ADMINISTRACJI SKARBOWEJ W KATOWICACH,2401
1, Urząd Skarbowy w Będzinie,2402
2, Pierwszy Urząd Skarbowy w Bielsku-Białej,2403
3, Drugi Urząd Skarbowy w Bielsku-Białej,2404
4, Urząd Skarbowy w Bytomiu,2405
